index,Participant_ID,Round,InfoOrderGroup,Context,CausalScore,BonusScore,Is_Human,ST_Outcome,End_Outcome,TakesAction,MotivatedByEndOutcome,Is_Pivotal,DummyText,Time_Agent,Time_Action,Time_Incentive,Time_Pivotal,Time_ST_Outcome,Time_Dummy,Time_EndOutcome,Views_Agent,Views_Action,Views_Incentive,Views_Pivotal,Views_ST_Outcome,Views_Dummy,Views_EndOutcome,ContextIsFootball,InfoOrderB,InfoOrderC,Time_Action_md,Time_Agent_md,Time_Incentive_md,Time_Pivotal_md,Time_ST_Outcome_md,Time_Dummy_md,Time_EndOutcome_md,Is_SouthAfrican,CorrectNumeracy,PostGraduateDegree
6,7,7,A,Business,3,-1.0,0,1,0,0,0,1,0,6049.0,2566.0,3390.0,2814.0,2133.0,1134.0,951.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,-1462.3569711538462,3556.253605769231,782.3100961538462,196.47596153846143,441.3846153846155,-207.94951923076928,-1371.8822115384614,1.0,1.0,1.0
8,9,7,C,Business,2,0.0,1,1,0,0,1,0,0,3111.0,2263.0,2047.0,3489.0,1681.0,866.0,1798.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,-1765.3569711538462,618.253605769231,-560.6899038461538,871.4759615384614,-10.615384615384528,-475.9495192307693,-524.8822115384614,1.0,0.0,1.0
12,13,7,A,Business,5,1.0,0,0,1,0,0,1,0,1325.0,4070.0,1433.0,2868.0,1537.0,1634.0,4317.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,41.64302884615381,-1167.746394230769,-1174.6899038461538,250.47596153846143,-154.61538461538453,292.0504807692307,1994.1177884615386,0.0,0.0,1.0
13,14,7,B,Business,6,-1.0,0,0,0,1,1,1,1,1177.0,1117.0,3249.0,1319.0,862.0,1338.0,1776.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,-2911.356971153846,-1315.746394230769,641.3100961538462,-1298.5240384615386,-829.6153846153845,-3.9495192307692832,-546.8822115384614,0.0,0.0,0.0
17,18,7,C,Football,1,1.0,1,1,0,0,0,0,1,2315.0,3551.0,3083.0,2416.0,11508.0,2267.0,1767.0,2.0,3.0,1.0,1.0,6.0,1.0,2.0,1.0,0.0,1.0,1772.96875,112.27043269230762,732.9350961538462,546.3209134615386,8365.554086538461,752.0877403846155,-198.90144230769238,0.0,1.0,0.0
28,29,7,B,Football,2,0.0,0,0,1,0,0,1,0,2757.0,959.0,849.0,466.0,862.0,572.0,474.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-819.03125,554.2704326923076,-1501.0649038461538,-1403.6790865384614,-2280.4459134615386,-942.9122596153845,-1491.9014423076924,0.0,0.0,1.0
29,30,7,C,Football,5,10.0,1,0,1,0,1,1,1,1117.0,1416.0,650.0,1183.0,4650.0,3233.0,1634.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,-362.03125,-1085.7295673076924,-1700.0649038461538,-686.6790865384614,1507.5540865384614,1718.0877403846155,-331.9014423076924,1.0,0.0,1.0
30,31,7,A,Business,7,10.0,1,0,1,1,1,1,0,1604.0,5501.0,1855.0,1077.0,0.0,0.0,2473.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1472.6430288461538,-888.746394230769,-752.6899038461538,-1540.5240384615386,-1691.6153846153845,-1341.9495192307693,150.11778846153857,0.0,0.0,1.0
40,41,7,B,Business,6,1.0,0,1,0,0,1,0,0,2492.0,3446.0,2880.0,2049.0,3562.0,3230.0,1880.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,0.0,1.0,0.0,-582.3569711538462,-0.7463942307690559,272.3100961538462,-568.5240384615386,1870.3846153846155,1888.0504807692307,-442.88221153846143,1.0,0.0,0.0
42,43,7,A,Business,5,0.0,1,1,0,0,1,0,0,2407.0,3067.0,9099.0,2383.0,4386.0,2362.0,8367.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,-961.3569711538462,-85.74639423076906,6491.310096153846,-234.52403846153857,2694.3846153846152,1020.0504807692307,6044.117788461539,1.0,0.0,0.0
46,47,7,B,Business,6,10.0,0,0,1,1,0,1,0,6900.0,1750.0,2283.0,750.0,1233.0,1034.0,3134.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,-2278.356971153846,4407.2536057692305,-324.6899038461538,-1867.5240384615386,-458.6153846153845,-307.9495192307693,811.1177884615386,1.0,0.0,0.0
