,Is_Human,ST_Outcome,End_Outcome,TakesAction,MotivatedByEndOutcome,Is_Pivotal,DummyText,ContextIsFootball,Participant,Cluster
0,0.00699953336444237,0.21371908539430712,0.3499766682221185,0.06346243583761209,0.01866542230517899,0.20391973868408836,0.0,0.14325711619225245,1,2
0,0.09371073830463388,0.033109156751163805,0.257045661701638,0.26135047914665027,0.053388515261251886,0.006207966890843029,0.0,0.2951874819438192,2,1
0,0.05256133867159455,0.20466071245252035,0.09493891797556724,0.402095448589044,0.041063545837183,0.08286623549943542,0.0,0.12181380097465545,3,4
0,0.0,0.17513914656771765,0.26180169037311884,0.13061224489795928,0.02533085961657394,0.2731642960214391,0.0,0.1339517625231911,4,2
0,0.0713822719170315,0.0807000486144869,0.035002430724355944,0.08125564275296888,0.07476908118619367,0.18435771002615903,0.0,0.4725328147788041,5,0
0,0.011520000000000202,0.0975999999999996,0.16765714285714306,0.3075200000000005,0.12167999999999989,0.09362285714285708,0.0,0.20039999999999975,6,2
0,0.07085953878404268,0.1341719077568258,0.4025157232704403,0.2247379454926783,0.1341719077568151,0.033542976939197874,0.0,0.0,7,2
0,0.18330926875380094,0.09441384736427928,0.013527130177921743,0.5011292074524515,0.09409913453973313,0.006294256490952453,0.0,0.10722715522086088,8,4
0,0.0,0.08278166845941852,0.39427375693360267,0.08648304179331011,0.14929861272572348,0.13315222490078008,0.0,0.15401069518716515,9,2
0,0.0,0.14662965900079322,0.4113175484309501,0.09788149994335568,0.12652296157450854,0.0866638516123048,0.0,0.13098447943808764,10,2
0,0.0,0.13939630233979844,0.27568710694628584,0.29351778313670546,0.010743527169282327,0.1708171553267015,0.0,0.10983812508122644,11,2
0,0.11400071250443931,0.16031350195938174,0.24581403633772292,0.0623441396508923,0.22800142500891585,0.0,0.0,0.18952618453864786,12,1
0,0.08262935242434079,0.38830675778283974,0.08022562100010878,0.0,0.08508948909860072,0.0562316954116498,0.0,0.3075170842824601,13,3
0,0.1397647058823494,0.022588235294123182,0.2842352941176457,0.04941176470588235,0.14117647058823568,0.01694117647058727,0.0,0.3458823529411764,14,1
0,0.0,0.17365801445009366,0.4057265185978059,0.15057456324783036,0.11945410757291955,0.10605910011850611,0.0,0.04452769601284448,15,2
0,0.0,0.35203263037259563,0.2790979723327645,0.02842524161455373,0.027288231949971646,0.06244529268975058,0.0,0.2507106310403639,16,2
0,0.13156273239137362,0.019517081240230574,0.0010927137241803781,0.021247211303516436,0.06629129926697121,0.11490491872941674,0.0,0.645384043344311,17,0
0,0.05606958275557813,0.12202193369469265,0.3828852352739915,0.0030253371990419764,0.04131746231834389,0.07664187570906417,0.0,0.3180385730492878,18,2
0,0.2075834748160726,0.029105020616055736,0.054688904424248105,0.13921901528013592,0.04414261460101841,0.23327674023769113,0.0,0.2919842300247782,19,0
0,0.0,0.3227071258097509,0.4089669280600067,0.0,0.13126491646778027,0.07262188885100633,0.0,0.06443914081145585,20,2
0,0.0,0.24348672997321658,0.0041740582281114685,0.09869328788247721,0.15745475204934672,0.22226860064697967,0.0,0.27392257121986835,21,0
0,0.0546199362767395,0.004551661356395916,0.0,0.02985889849795101,0.05753299954483467,0.0,0.0,0.8534365043240789,22,0
0,0.025539091675701762,0.013106854595831883,0.08989059368531718,0.15612576797976152,0.10709772097556693,0.26093241778099024,0.0,0.3473075533068305,23,0
0,0.27485714285715873,0.039999999999990724,0.040000000000004365,0.057142857142889934,0.0,0.12799999999995804,0.0,0.4599999999999982,24,0
0,0.0,0.4184390249015942,0.10076261458873771,0.05845139445780981,0.002138465650895908,0.04490777866880513,0.0,0.3753007217321573,25,3
0,0.018823529411764715,0.255,0.3676470588235294,0.01088235294117648,0.0,0.04941176470588226,0.0,0.2982352941176471,26,2
0,0.09712399811409807,0.0,0.06451883283566422,0.14052071873854002,0.00594059405940592,0.2694536120278693,0.0,0.42244224422442245,27,0
0,0.07861111111111115,0.2841269841269842,0.05,0.3510121457489888,0.11722222222222171,0.03916666666666728,0.0,0.07986087012402694,28,4
0,0.17144750544352882,0.19019218025182183,0.010735586481113984,0.14859414938937796,0.12612420713812414,0.11135567547098346,0.0,0.24155069582504976,29,1
0,0.0,0.33584820009986843,0.04583412774070536,0.11522266103772415,0.0687384810931053,0.13178265014299145,0.0,0.3025738798856053,30,3
0,0.08236808236808146,0.055598455598455596,0.15059126353243973,0.1846221731936008,0.004942084942084749,0.21141141141141312,0.0,0.31046652895392457,31,0
0,0.02801556420233455,0.39351491569390395,0.07263294422827446,0.006225680933853445,0.015564202334630045,0.06381322957198413,0.0,0.4202334630350194,32,3
0,0.0027615965480046584,0.11391585760517814,0.3324493758668515,0.0037281553398059333,0.08201941747572812,0.1385236554168588,0.0,0.3266019417475728,33,2
0,0.300078498537073,0.03336641949358695,0.06308427888389355,0.0009134375223003282,0.1944480125597659,0.0659958609862269,0.0,0.3421134920171534,34,0
0,0.0,0.2428704815259422,0.30567680309533957,0.0628525750827913,0.0036542194815578706,0.0693257638786933,0.0,0.31562015693567574,35,2
