index,ParticipantNum,TrialNumber,StartTime,EndTime,Causal_Response,Bonus_Response,Is_Human,TakesAction,ST_Outcome,End_Outcome,Is_Pivotal,MotivatedByEndOutcome,Dummy,ResponseStart,ResponseEnd,Context,DummyText,Action_time,Agent_time,Dummy_time,End_Outcome,Incentive_time,N/A,Pivotality_time,ST_Outcome,Time_Action_md,Time_Agent_md,Time_Incentive_md,Time_Pivotal_md,Time_ST_Outcome_md,Time_Dummy_md,Time_EndOutcome_md,Time_Action_md_Z,Time_Agent_md_Z,Time_Incentive_md_Z,Time_Pivotal_md_Z,Time_ST_Outcome_md_Z,Time_Dummy_md_Z,Time_EndOutcome_md_Z,Is_SouthAfrican,CorrectNumeracy,PostGraduateDegree,InfoOrderGroup,InfoOrderB,InfoOrderC,ContextIsFootball
32,58,1,09-Jul-2021 20:46:50,09-Jul-2021 20:47:16,2,3,0,0,1,0,1,1,B,09-Jul-2021 20:47:17,09-Jul-2021 20:47:45,Football,1,4.014899999999983,6.284659999999974,1.3654700000000162,1.982670000000013,3.125239999999991,6.195070000000015,1.6411200000000008,1.6396500000000174,2.2992870212765792,4.162730270270236,-0.7445557446808526,-0.42824787234044415,-1.9333014893616833,-0.6912312765957038,0.5497867391304427,1.6279584032815635,2.399406237549385,-0.19964798821159216,-0.4175584481638789,-0.6542989181099934,-0.5658468838604928,0.4067543186231456,0.0,1.0,1.0,A,0.0,0.0,1.0
33,58,2,09-Jul-2021 20:47:46,09-Jul-2021 20:48:16,3,3,1,0,0,0,0,0,B,09-Jul-2021 20:48:16,09-Jul-2021 20:48:28,Football,1,4.602040000000017,8.900850000000077,1.326909999999998,1.6391500000000008,1.679680000000019,7.7961699999999325,2.488289999999978,1.8508399999999767,2.8864270212766128,6.778920270270339,-2.1901157446808246,0.41892212765953296,-1.722111489361724,-0.729791276595722,0.20626673913043048,2.043669659883231,3.9073835017613807,-0.5872659038625564,0.4084654818505796,-0.5828246088643898,-0.5974123765985083,0.15260442087474613,0.0,1.0,1.0,A,0.0,0.0,1.0
34,58,3,09-Jul-2021 20:48:30,09-Jul-2021 20:48:47,1,3,0,0,0,1,1,0,B,09-Jul-2021 20:48:48,09-Jul-2021 20:49:01,Football,1,1.2370599999999854,4.05541999999997,1.0234399999999937,0.6413499999999885,2.998289999999997,4.784670000000062,1.4023500000000126,1.0393000000000256,-0.4785529787234184,1.933490270270232,-0.8715057446808467,-0.6670178723404323,-2.533651489361675,-1.0332612765957263,-0.7915332608695818,-0.33882866119762245,1.1144677443696758,-0.2336888404708471,-0.6503685497604271,-0.8574790002900481,-0.845835096546672,-0.5856081081580526,0.0,1.0,1.0,A,0.0,0.0,1.0
35,58,4,09-Jul-2021 20:49:02,09-Jul-2021 20:49:37,6,5,1,0,1,1,1,0,A,09-Jul-2021 20:49:37,09-Jul-2021 20:49:54,Business,0,4.732429999999965,5.89331999999996,0.5090299999999957,1.7116699999999696,6.609359999999981,10.56176000000005,2.641590000000008,1.86525000000006,1.9520948936170024,3.330625428571358,2.314809565217363,0.9810683333333376,-0.819283617021219,-1.8362881250000034,-0.3225406382978875,1.382136834879545,1.9197793057429868,0.6207017756429939,0.9565800492377685,-0.27727511057740667,-1.5031986378258408,-0.23862852306447574,0.0,1.0,1.0,A,0.0,0.0,0.0
36,58,5,09-Jul-2021 20:49:56,09-Jul-2021 20:50:33,6,2,1,1,0,1,1,0,A,09-Jul-2021 20:50:33,09-Jul-2021 20:50:43,Business,0,4.643059999999991,5.388439999999946,3.562749999999994,1.9191900000000717,8.345719999999972,9.067119999999989,2.130370000000028,2.0173300000000154,1.8627248936170284,2.8257454285713437,4.051169565217354,0.46984833333335785,-0.6672036170212636,1.217431874999995,-0.11502063829778542,1.3188604186883846,1.6287654416293926,1.0862959011166633,0.4581205269435581,-0.2258057562042342,0.9965984701587872,-0.08509688944555423,0.0,1.0,1.0,A,0.0,0.0,0.0
37,58,6,09-Jul-2021 20:50:44,09-Jul-2021 20:51:02,2,3,0,1,1,0,0,0,A,09-Jul-2021 20:51:03,09-Jul-2021 20:51:41,Business,0,2.423339999999996,4.513170000000002,2.045899999999904,1.6733500000000276,2.6054599999999937,2.9414200000000505,0.847660000000019,0.2626900000000205,-0.35699510638296683,1.9504754285714,-1.6890904347826243,-0.8128616666666513,-2.4218436170212585,-0.2994181250000949,-0.36086063829782944,-0.2527623467573334,1.1242580243368043,-0.4529190858051097,-0.7925719613042342,-0.8196391856977217,-0.2451058259936791,-0.2669791986632868,0.0,1.0,1.0,A,0.0,0.0,0.0
38,58,7,09-Jul-2021 20:51:43,09-Jul-2021 20:52:12,3,3,1,1,0,0,1,0,B,09-Jul-2021 20:52:12,09-Jul-2021 20:53:03,Football,1,3.927740000000029,6.411619999999971,1.4799800000000118,1.128910000000019,3.1464900000000284,4.72705000000002,4.61522999999994,3.49852999999996,2.212127021276625,4.289690270270233,-0.7233057446808151,2.545862127659495,-0.07442148936174053,-0.5767212765957082,-0.30397326086955134,1.5662467278287238,2.4725862410905433,-0.19394993298898106,2.4823152849656194,-0.025186914840477602,-0.4721081760433684,-0.22489163125361347,0.0,1.0,1.0,A,0.0,0.0,1.0
39,58,8,09-Jul-2021 20:53:05,09-Jul-2021 20:53:30,1,3,0,1,1,0,1,1,A,09-Jul-2021 20:53:31,09-Jul-2021 20:53:59,Football,0,1.6660200000001169,2.852049999999963,3.609859999999912,2.1655300000001034,5.027339999999981,5.940919999999892,1.9301799999999505,2.139160000000061,-0.04959297872328694,0.7301202702702252,1.1575442553191375,-0.13918787234049446,-1.43379148936164,1.553158723404192,0.7326467391305331,-0.035113191919604,0.42084281635040804,0.3103882865606134,-0.13571362692381575,-0.48524672713844447,1.2714268777120683,0.5420414934668043,0.0,1.0,1.0,A,0.0,0.0,1.0
40,58,9,09-Jul-2021 20:54:00,09-Jul-2021 20:54:32,5,1,1,0,0,0,0,0,B,09-Jul-2021 20:54:33,09-Jul-2021 20:54:41,Business,1,3.375970000000052,2.866710000000012,1.9760800000000245,1.1445400000000063,6.802230000000122,8.099109999999769,4.026379999999904,3.564450000000079,0.5956348936170892,0.3040154285714096,2.5076795652175043,2.3658583333332333,0.8799163829787999,-0.36923812499997455,-0.8896706382978508,0.42172587475107554,0.1752351145197152,0.6724186655622347,2.3068045355211195,0.297795424344485,-0.30226097907882965,-0.6582140828864229,0.0,1.0,1.0,A,0.0,0.0,0.0
41,58,10,09-Jul-2021 20:54:42,09-Jul-2021 20:55:07,5,4,1,1,0,1,0,1,A,09-Jul-2021 20:55:07,09-Jul-2021 20:55:25,Business,0,2.274889999999914,5.374520000000075,3.9091799999998784,0.4926700000000892,3.629400000000032,3.740229999999883,4.3359400000000505,1.4106500000000324,-0.505445106383049,2.8118254285714728,-0.6651504347825861,2.67541833333338,-1.2738836170212466,1.5638618749998794,-1.5415406382977679,-0.3578690266676583,1.6207419251731585,-0.17835594864603585,2.6086376596584286,-0.4311281385761737,1.2801885544228409,-1.1404936993431711,0.0,1.0,1.0,A,0.0,0.0,0.0
